video,frame,timestamp_sec,rider_track_id,rider_conf,rider_bbox,occupant_count,head_count,helmeted_count,no_helmet_count,matched_occupant_ids,match_scores,raw_overload,confirmed_overload,helmet_status,elapsed_ms,fps
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,76,2.536,M001,0.828,1034.6 280.2 1139.4 423.7,0,0,0,0,,,0,0,UNKNOWN,25.717,38.885
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,77,2.569,M001,0.728,1039.2 277.9 1139.9 422.5,0,0,0,0,,,0,0,UNKNOWN,25.260,39.589
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,78,2.603,M001,0.609,1042.6 278.9 1141.2 421.2,0,0,0,0,,,0,0,UNKNOWN,27.652,36.163
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,79,2.636,M001,0.369,1046.5 275.1 1145.2 420.8,0,0,0,0,,,0,0,UNKNOWN,27.096,36.906
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,80,2.669,M001,0.544,1049.6 278.4 1146.2 419.3,0,0,0,0,,,0,0,UNKNOWN,27.523,36.333
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,81,2.703,M001,0.562,1056.3 268.6 1148.8 417.8,0,0,0,0,,,0,0,UNKNOWN,27.252,36.694
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,82,2.736,M001,0.663,1059.9 281.2 1147.0 416.6,0,0,0,0,,,0,0,UNKNOWN,26.506,37.728
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,83,2.769,M001,0.516,1063.1 276.3 1154.3 415.8,0,0,0,0,,,0,0,UNKNOWN,27.381,36.521
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,84,2.803,M001,0.619,1066.3 273.8 1159.4 415.3,0,0,0,0,,,0,0,UNKNOWN,27.087,36.918
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,85,2.836,M001,0.789,1068.9 274.9 1161.4 413.8,0,0,0,0,,,0,0,UNKNOWN,42.005,23.807
