frame,timestamp_sec,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
52,1.733,yolov8n,1+3+0,bicycle+motorcycle+person,63.066,15.856,38,"bicycle:0, motorcycle:20, person:18"
53,1.767,baseline,0+1+2,ebike+driver+passenger,57.869,17.280,0,"ebike:0, driver:0, passenger:0"
53,1.767,bifpn,0+1+2,ebike+driver+passenger,59.912,16.691,0,"ebike:0, driver:0, passenger:0"
53,1.767,yolov8n,1+3+0,bicycle+motorcycle+person,63.063,15.857,38,"bicycle:0, motorcycle:20, person:18"
54,1.800,baseline,0+1+2,ebike+driver+passenger,63.306,15.796,0,"ebike:0, driver:0, passenger:0"
54,1.800,bifpn,0+1+2,ebike+driver+passenger,61.644,16.222,0,"ebike:0, driver:0, passenger:0"
54,1.800,yolov8n,1+3+0,bicycle+motorcycle+person,65.215,15.334,39,"bicycle:0, motorcycle:19, person:20"
55,1.833,baseline,0+1+2,ebike+driver+passenger,64.331,15.545,0,"ebike:0, driver:0, passenger:0"
55,1.833,bifpn,0+1+2,ebike+driver+passenger,62.626,15.968,0,"ebike:0, driver:0, passenger:0"
55,1.833,yolov8n,1+3+0,bicycle+motorcycle+person,63.805,15.673,39,"bicycle:0, motorcycle:20, person:19"
56,1.867,baseline,0+1+2,ebike+driver+passenger,59.055,16.933,0,"ebike:0, driver:0, passenger:0"
56,1.867,bifpn,0+1+2,ebike+driver+passenger,66.150,15.117,0,"ebike:0, driver:0, passenger:0"
56,1.867,yolov8n,1+3+0,bicycle+motorcycle+person,66.543,15.028,37,"bicycle:0, motorcycle:17, person:20"
57,1.900,baseline,0+1+2,ebike+driver+passenger,64.791,15.434,0,"ebike:0, driver:0, passenger:0"
57,1.900,bifpn,0+1+2,ebike+driver+passenger,64.374,15.534,0,"ebike:0, driver:0, passenger:0"
57,1.900,yolov8n,1+3+0,bicycle+motorcycle+person,63.621,15.718,41,"bicycle:0, motorcycle:21, person:20"
58,1.933,baseline,0+1+2,ebike+driver+passenger,61.557,16.245,0,"ebike:0, driver:0, passenger:0"
58,1.933,bifpn,0+1+2,ebike+driver+passenger,61.487,16.264,0,"ebike:0, driver:0, passenger:0"
58,1.933,yolov8n,1+3+0,bicycle+motorcycle+person,61.592,16.236,38,"bicycle:0, motorcycle:19, person:19"
59,1.967,baseline,0+1+2,ebike+driver+passenger,64.001,15.625,0,"ebike:0, driver:0, passenger:0"
59,1.967,bifpn,0+1+2,ebike+driver+passenger,64.640,15.470,1,"ebike:1, driver:0, passenger:0"
59,1.967,yolov8n,1+3+0,bicycle+motorcycle+person,65.555,15.254,39,"bicycle:0, motorcycle:19, person:20"
60,2.000,baseline,0+1+2,ebike+driver+passenger,60.637,16.492,0,"ebike:0, driver:0, passenger:0"
60,2.000,bifpn,0+1+2,ebike+driver+passenger,63.264,15.807,1,"ebike:1, driver:0, passenger:0"
60,2.000,yolov8n,1+3+0,bicycle+motorcycle+person,66.083,15.133,39,"bicycle:0, motorcycle:21, person:18"
61,2.033,baseline,0+1+2,ebike+driver+passenger,62.621,15.969,0,"ebike:0, driver:0, passenger:0"
61,2.033,bifpn,0+1+2,ebike+driver+passenger,62.349,16.039,1,"ebike:1, driver:0, passenger:0"
61,2.033,yolov8n,1+3+0,bicycle+motorcycle+person,64.237,15.567,41,"bicycle:0, motorcycle:21, person:20"
62,2.067,baseline,0+1+2,ebike+driver+passenger,61.220,16.335,0,"ebike:0, driver:0, passenger:0"
62,2.067,bifpn,0+1+2,ebike+driver+passenger,60.677,16.481,1,"ebike:1, driver:0, passenger:0"
62,2.067,yolov8n,1+3+0,bicycle+motorcycle+person,63.769,15.682,33,"bicycle:0, motorcycle:16, person:17"
63,2.100,baseline,0+1+2,ebike+driver+passenger,61.004,16.392,0,"ebike:0, driver:0, passenger:0"
63,2.100,bifpn,0+1+2,ebike+driver+passenger,62.291,16.054,1,"ebike:1, driver:0, passenger:0"
63,2.100,yolov8n,1+3+0,bicycle+motorcycle+person,60.979,16.399,35,"bicycle:0, motorcycle:17, person:18"
64,2.133,baseline,0+1+2,ebike+driver+passenger,61.645,16.222,0,"ebike:0, driver:0, passenger:0"
64,2.133,bifpn,0+1+2,ebike+driver+passenger,60.457,16.541,1,"ebike:1, driver:0, passenger:0"
64,2.133,yolov8n,1+3+0,bicycle+motorcycle+person,64.094,15.602,36,"bicycle:0, motorcycle:16, person:20"
65,2.167,baseline,0+1+2,ebike+driver+passenger,59.022,16.943,0,"ebike:0, driver:0, passenger:0"
65,2.167,bifpn,0+1+2,ebike+driver+passenger,59.792,16.725,1,"ebike:1, driver:0, passenger:0"
65,2.167,yolov8n,1+3+0,bicycle+motorcycle+person,62.737,15.940,39,"bicycle:0, motorcycle:19, person:20"
66,2.200,baseline,0+1+2,ebike+driver+passenger,58.660,17.047,0,"ebike:0, driver:0, passenger:0"
66,2.200,bifpn,0+1+2,ebike+driver+passenger,59.966,16.676,0,"ebike:0, driver:0, passenger:0"
66,2.200,yolov8n,1+3+0,bicycle+motorcycle+person,63.007,15.871,42,"bicycle:0, motorcycle:21, person:21"
67,2.233,baseline,0+1+2,ebike+driver+passenger,59.999,16.667,0,"ebike:0, driver:0, passenger:0"
67,2.233,bifpn,0+1+2,ebike+driver+passenger,69.270,14.436,1,"ebike:1, driver:0, passenger:0"
67,2.233,yolov8n,1+3+0,bicycle+motorcycle+person,73.298,13.643,39,"bicycle:0, motorcycle:20, person:19"
68,2.267,baseline,0+1+2,ebike+driver+passenger,71.355,14.015,0,"ebike:0, driver:0, passenger:0"
68,2.267,bifpn,0+1+2,ebike+driver+passenger,68.941,14.505,1,"ebike:1, driver:0, passenger:0"
68,2.267,yolov8n,1+3+0,bicycle+motorcycle+person,69.204,14.450,42,"bicycle:0, motorcycle:21, person:21"
69,2.300,baseline,0+1+2,ebike+driver+passenger,67.755,14.759,0,"ebike:0, driver:0, passenger:0"
69,2.300,bifpn,0+1+2,ebike+driver+passenger,68.945,14.504,0,"ebike:0, driver:0, passenger:0"
69,2.300,yolov8n,1+3+0,bicycle+motorcycle+person,70.746,14.135,36,"bicycle:0, motorcycle:18, person:18"
70,2.333,baseline,0+1+2,ebike+driver+passenger,67.727,14.765,0,"ebike:0, driver:0, passenger:0"
70,2.333,bifpn,0+1+2,ebike+driver+passenger,64.573,15.486,0,"ebike:0, driver:0, passenger:0"
70,2.333,yolov8n,1+3+0,bicycle+motorcycle+person,70.096,14.266,41,"bicycle:0, motorcycle:20, person:21"
71,2.367,baseline,0+1+2,ebike+driver+passenger,65.357,15.301,0,"ebike:0, driver:0, passenger:0"
71,2.367,bifpn,0+1+2,ebike+driver+passenger,65.749,15.209,0,"ebike:0, driver:0, passenger:0"
71,2.367,yolov8n,1+3+0,bicycle+motorcycle+person,76.037,13.151,36,"bicycle:0, motorcycle:18, person:18"
72,2.400,baseline,0+1+2,ebike+driver+passenger,71.806,13.926,0,"ebike:0, driver:0, passenger:0"
72,2.400,bifpn,0+1+2,ebike+driver+passenger,67.474,14.820,0,"ebike:0, driver:0, passenger:0"
72,2.400,yolov8n,1+3+0,bicycle+motorcycle+person,68.329,14.635,38,"bicycle:0, motorcycle:20, person:18"
73,2.433,baseline,0+1+2,ebike+driver+passenger,64.439,15.518,0,"ebike:0, driver:0, passenger:0"
73,2.433,bifpn,0+1+2,ebike+driver+passenger,60.920,16.415,0,"ebike:0, driver:0, passenger:0"
73,2.433,yolov8n,1+3+0,bicycle+motorcycle+person,64.335,15.544,40,"bicycle:0, motorcycle:22, person:18"
74,2.467,baseline,0+1+2,ebike+driver+passenger,63.233,15.815,0,"ebike:0, driver:0, passenger:0"
74,2.467,bifpn,0+1+2,ebike+driver+passenger,63.335,15.789,0,"ebike:0, driver:0, passenger:0"
74,2.467,yolov8n,1+3+0,bicycle+motorcycle+person,68.544,14.589,36,"bicycle:0, motorcycle:18, person:18"
75,2.500,baseline,0+1+2,ebike+driver+passenger,66.042,15.142,0,"ebike:0, driver:0, passenger:0"
75,2.500,bifpn,0+1+2,ebike+driver+passenger,62.293,16.053,0,"ebike:0, driver:0, passenger:0"
75,2.500,yolov8n,1+3+0,bicycle+motorcycle+person,65.770,15.204,36,"bicycle:0, motorcycle:18, person:18"
76,2.533,baseline,0+1+2,ebike+driver+passenger,63.168,15.831,0,"ebike:0, driver:0, passenger:0"
76,2.533,bifpn,0+1+2,ebike+driver+passenger,62.859,15.909,0,"ebike:0, driver:0, passenger:0"
76,2.533,yolov8n,1+3+0,bicycle+motorcycle+person,66.719,14.988,35,"bicycle:0, motorcycle:16, person:19"
77,2.567,baseline,0+1+2,ebike+driver+passenger,63.826,15.668,0,"ebike:0, driver:0, passenger:0"
77,2.567,bifpn,0+1+2,ebike+driver+passenger,62.998,15.874,0,"ebike:0, driver:0, passenger:0"
77,2.567,yolov8n,1+3+0,bicycle+motorcycle+person,64.918,15.404,37,"bicycle:0, motorcycle:18, person:19"
78,2.600,baseline,0+1+2,ebike+driver+passenger,62.875,15.905,0,"ebike:0, driver:0, passenger:0"
78,2.600,bifpn,0+1+2,ebike+driver+passenger,63.896,15.650,0,"ebike:0, driver:0, passenger:0"
78,2.600,yolov8n,1+3+0,bicycle+motorcycle+person,68.666,14.563,31,"bicycle:0, motorcycle:15, person:16"
