epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,3671.28,1.15726,0.99247,1.36322,0.84337,0.75737,0.82642,0.49637,1.09343,0.83069,1.29656,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
78,3719.78,1.14873,0.98004,1.3644,0.78942,0.79144,0.82746,0.50142,1.09679,0.81843,1.29477,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125
79,3768.33,1.15328,0.97864,1.36736,0.83831,0.76697,0.82904,0.50476,1.09176,0.80691,1.29031,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
80,3815.72,1.15966,0.9761,1.36664,0.81018,0.79023,0.82749,0.50564,1.10144,0.80464,1.29347,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375
81,3861.93,1.14289,0.96339,1.36188,0.83993,0.76777,0.82692,0.5038,1.09837,0.81499,1.29693,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
82,3909.36,1.14611,0.98828,1.36483,0.83166,0.77673,0.83236,0.50436,1.08313,0.81931,1.28754,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625
83,3956.69,1.1604,0.98772,1.36208,0.82139,0.76964,0.83138,0.50598,1.0911,0.81187,1.29755,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
84,4004.18,1.14997,0.96398,1.3528,0.82565,0.78197,0.83909,0.50767,1.08904,0.80613,1.29504,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875
85,4051.3,1.14744,0.95404,1.35814,0.83397,0.7684,0.83426,0.50539,1.09052,0.81355,1.29369,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
86,4098.71,1.13207,0.96417,1.35393,0.81241,0.78403,0.82966,0.50494,1.09288,0.80846,1.29975,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
87,4146.08,1.1318,0.96358,1.35737,0.82141,0.78339,0.82963,0.50522,1.09531,0.80622,1.29675,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
88,4194.48,1.12973,0.96258,1.34418,0.81963,0.78516,0.83218,0.50582,1.08337,0.81617,1.2943,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375
89,4243.23,1.12102,0.9476,1.34188,0.82482,0.77394,0.83141,0.50262,1.0878,0.81619,1.29581,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
90,4292.64,1.11969,0.95076,1.34914,0.82144,0.78461,0.83288,0.50574,1.08979,0.81417,1.29432,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625
91,4341.37,1.07734,0.8324,1.21322,0.80841,0.79491,0.82719,0.50175,1.09324,0.82046,1.29128,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
92,4387.7,1.06558,0.79209,1.21206,0.82232,0.77709,0.82938,0.50614,1.09133,0.78989,1.29029,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875
93,4434.84,1.04991,0.78398,1.20333,0.83781,0.77082,0.82712,0.50501,1.09035,0.79692,1.29024,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
94,4482.89,1.05961,0.76951,1.20456,0.83611,0.76828,0.82592,0.50437,1.08829,0.80414,1.2922,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05
95,4529.79,1.04209,0.7637,1.20063,0.82469,0.78142,0.82723,0.50436,1.09119,0.80584,1.29348,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
96,4578.94,1.03999,0.76529,1.19846,0.82201,0.78295,0.825,0.50387,1.08558,0.80472,1.28898,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
97,4627.97,1.03575,0.75963,1.19247,0.81304,0.78832,0.82631,0.50445,1.09129,0.79484,1.29269,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
98,4675.83,1.03987,0.75888,1.19162,0.85017,0.76686,0.83002,0.5071,1.08929,0.78629,1.29259,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05
99,4724.35,1.02768,0.75287,1.18833,0.82888,0.78461,0.83092,0.50668,1.08573,0.78758,1.2906,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
100,4772.06,1.03452,0.75221,1.1882,0.82389,0.78773,0.83105,0.50668,1.0846,0.78782,1.28579,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05
