video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,65,2.167,3,motorcycle,0.523,849.3 362.1 912.6 421.9,1,1.190,0,0,30.008,33.324
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,66,2.200,3,motorcycle,0.510,851.6 362.9 915.8 422.7,1,1.200,0,0,28.468,35.127
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,67,2.233,3,motorcycle,0.403,856.6 366.0 918.3 422.2,0,,0,0,37.008,27.021
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,67,2.233,7,bicycle,0.262,1162.7 401.5 1210.3 436.2,1,1.127,0,0,37.008,27.021
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,68,2.267,7,bicycle,0.296,1162.7 401.5 1211.6 436.1,0,,0,0,29.227,34.214
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,68,2.267,3,motorcycle,0.280,862.7 365.6 921.7 422.6,0,,0,0,29.227,34.214
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,69,2.300,7,bicycle,0.317,1162.8 402.0 1210.4 435.9,1,1.119,0,0,29.094,34.372
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,70,2.333,8,motorcycle,0.398,1081.8 361.0 1142.9 425.5,0,,0,0,45.950,21.763
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,70,2.333,7,bicycle,0.311,1162.7 402.0 1210.5 435.8,1,1.120,0,0,45.950,21.763
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,71,2.367,8,motorcycle,0.534,1089.6 363.0 1149.2 427.2,0,,0,0,29.034,34.442
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,71,2.367,7,bicycle,0.407,1162.7 401.8 1210.9 436.3,0,,0,0,29.034,34.442
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,72,2.400,8,motorcycle,0.540,1089.3 362.6 1154.9 427.2,0,,0,0,28.624,34.936
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,72,2.400,7,bicycle,0.413,1163.0 401.0 1210.9 436.2,0,,0,0,28.624,34.936
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,73,2.433,8,motorcycle,0.486,1090.2 361.9 1163.4 427.6,0,,0,0,27.029,36.997
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,73,2.433,7,bicycle,0.415,1163.0 400.6 1210.2 436.2,0,,0,0,27.029,36.997
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,73,2.433,3,motorcycle,0.329,880.3 360.3 941.6 420.0,0,,0,0,27.029,36.997
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,74,2.467,8,motorcycle,0.367,1102.1 364.4 1169.8 426.8,0,,0,0,39.528,25.298
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,74,2.467,9,motorcycle,0.280,1100.9 358.5 1238.8 430.4,0,,0,0,39.528,25.298
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,75,2.500,3,motorcycle,0.452,886.1 356.6 945.8 420.3,0,,0,0,29.606,33.777
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,75,2.500,8,motorcycle,0.400,1106.5 363.6 1177.2 428.4,0,,0,0,29.606,33.777
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,75,2.500,9,motorcycle,0.323,1104.7 356.5 1238.5 436.4,1,1.200,0,0,29.606,33.777
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,75,2.500,7,bicycle,0.318,1162.2 391.4 1210.9 436.4,0,,0,0,29.606,33.777
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,76,2.533,8,motorcycle,0.392,1112.1 365.7 1182.1 431.6,0,,0,0,33.970,29.437
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,76,2.533,7,bicycle,0.278,1162.4 385.6 1211.0 436.3,1,1.134,0,0,33.970,29.437
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,77,2.567,8,motorcycle,0.501,1117.2 366.0 1185.4 430.9,0,,0,0,29.511,33.885
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,77,2.567,3,motorcycle,0.309,892.8 360.5 952.0 420.3,0,,0,0,29.511,33.885
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,77,2.567,7,bicycle,0.258,1165.1 397.9 1210.8 436.3,0,,0,0,29.511,33.885
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,81,2.700,9,motorcycle,0.293,1138.8 362.4 1236.4 436.9,0,,0,0,53.190,18.801
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,85,2.833,10,motorcycle,0.284,918.6 357.5 980.8 420.3,0,,0,0,35.310,28.321
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,86,2.867,10,motorcycle,0.284,921.5 361.0 983.0 420.3,0,,0,0,28.846,34.667
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,90,3.000,11,motorcycle,0.272,0.4 394.2 159.0 600.8,0,,0,0,27.170,36.805
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,92,3.067,11,motorcycle,0.409,0.1 320.1 259.7 601.6,0,,0,0,28.500,35.087
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,94,3.133,11,motorcycle,0.310,0.3 408.4 344.1 565.3,1,1.200,0,0,33.601,29.761
