frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
93,3.100,M001,motorcycle,0.532,437.8 359.2 498.0 422.5,P002,1,1.450,0,1,26.020,38.431
94,3.133,M001,motorcycle,0.475,436.8 358.5 496.1 420.2,,0,,0,1,26.666,37.500
95,3.167,M001,motorcycle,0.381,436.9 353.7 491.4 418.4,,0,,0,1,25.781,38.788
96,3.200,M001,motorcycle,0.413,434.6 352.6 486.7 416.0,,0,,0,1,27.630,36.192
97,3.233,M001,motorcycle,0.434,434.0 356.8 485.1 416.2,P002,1,1.550,0,1,28.303,35.331
98,3.267,M001,motorcycle,0.387,431.2 359.2 483.6 414.8,P002,1,1.539,0,1,27.121,36.872
99,3.300,M001,motorcycle,0.494,428.8 359.7 480.4 413.5,P002,1,1.489,0,1,28.189,35.475
100,3.333,M001,motorcycle,0.558,427.1 359.5 476.1 413.7,P002,1,1.495,0,1,26.681,37.480
101,3.367,M001,motorcycle,0.670,426.3 357.1 473.3 413.2,P002,1,1.503,0,1,26.950,37.106
102,3.400,M001,motorcycle,0.662,425.5 356.3 470.6 412.9,P002,1,1.450,0,1,26.908,37.164
103,3.433,M001,motorcycle,0.739,422.1 352.3 467.4 412.1,P002,1,1.506,0,1,27.637,36.184
104,3.467,M001,motorcycle,0.658,416.8 356.0 465.3 411.6,,0,,0,1,26.931,37.131
105,3.500,M001,motorcycle,0.710,414.5 355.4 462.2 409.3,P002,1,1.561,0,1,26.073,38.353
106,3.533,M001,motorcycle,0.739,412.5 357.0 457.7 408.2,,0,,0,1,27.136,36.851
107,3.567,M001,motorcycle,0.686,414.1 356.6 454.4 408.2,P002,1,1.450,0,1,26.706,37.445
108,3.600,M001,motorcycle,0.821,408.6 353.7 451.5 408.6,P002,1,1.594,0,1,26.316,38.000
109,3.633,M001,motorcycle,0.726,404.2 358.2 448.7 408.4,,0,,0,1,27.162,36.817
110,3.667,M001,motorcycle,0.590,399.9 358.0 443.6 407.3,P002,1,1.586,0,1,28.679,34.869
111,3.700,M001,motorcycle,0.564,399.9 357.1 440.5 408.6,P002,1,1.572,0,1,27.471,36.402
112,3.733,M001,motorcycle,0.595,398.1 354.0 437.4 406.9,P002,1,1.450,0,1,27.302,36.627
113,3.767,M001,motorcycle,0.573,397.7 353.3 434.7 407.3,P002,1,1.567,0,1,27.003,37.033
113,3.767,U002,motorcycle,0.357,695.4 340.3 759.4 388.5,,0,,0,0,27.003,37.033
113,3.767,U003,motorcycle,0.269,387.8 348.5 412.4 398.4,,0,,0,0,27.003,37.033
114,3.800,M001,motorcycle,0.413,391.3 354.8 430.9 407.0,P002,1,1.573,0,1,27.892,35.852
114,3.800,U002,motorcycle,0.264,688.9 338.9 751.0 387.3,,0,,0,0,27.892,35.852
115,3.833,M001,motorcycle,0.472,389.7 355.4 425.2 407.0,P002,1,1.585,0,1,26.965,37.086
116,3.867,M001,motorcycle,0.486,388.6 356.3 422.2 406.9,P002,1,1.594,0,1,27.068,36.944
117,3.900,M001,motorcycle,0.628,385.0 358.1 419.2 406.3,P002,1,1.450,0,1,27.980,35.740
118,3.933,M001,motorcycle,0.343,379.8 358.0 417.6 405.4,,0,,0,1,26.612,37.578
121,4.033,M001,motorcycle,0.381,365.8 354.1 407.9 403.4,P002,1,1.593,0,1,26.057,38.377
121,4.033,U002,motorcycle,0.336,521.4 337.8 548.5 363.8,,0,,0,0,26.057,38.377
122,4.067,M001,motorcycle,0.563,367.8 354.5 404.0 403.1,P002,1,1.450,0,1,25.553,39.135
123,4.100,M001,motorcycle,0.538,367.3 353.2 402.7 403.1,P002,1,1.450,0,1,27.247,36.701
123,4.100,U002,motorcycle,0.284,638.2 336.0 694.4 387.5,,0,,0,0,27.247,36.701
124,4.133,M001,motorcycle,0.414,365.2 348.1 401.5 401.0,P002,1,1.450,0,1,26.976,37.070
125,4.167,M001,motorcycle,0.375,362.1 346.0 398.2 400.0,P002,1,1.598,0,1,27.668,36.143
126,4.200,M001,motorcycle,0.423,353.7 342.7 395.5 399.8,P002,1,1.583,0,1,27.004,37.032
127,4.233,M001,motorcycle,0.494,352.1 347.5 392.8 399.6,P002,1,1.450,0,1,26.346,37.957
128,4.267,M001,motorcycle,0.486,352.7 350.2 390.6 399.7,P002,1,1.545,0,1,26.716,37.431
129,4.300,M001,motorcycle,0.555,354.1 350.4 387.8 399.3,P002,1,1.450,0,1,25.386,39.393
130,4.333,M001,motorcycle,0.598,352.7 352.0 385.8 398.5,P002,1,1.450,0,1,26.443,37.818
131,4.367,M001,motorcycle,0.562,349.6 351.7 384.1 397.8,,0,,0,1,26.020,38.432
131,4.367,U002,motorcycle,0.390,596.6 336.6 651.2 384.1,,0,,0,0,26.020,38.432
132,4.400,M001,motorcycle,0.423,345.3 354.9 382.9 397.7,,0,,0,1,26.399,37.880
132,4.400,U002,motorcycle,0.309,590.1 335.7 645.6 382.4,,0,,0,0,26.399,37.880
133,4.433,U001,motorcycle,0.385,586.7 339.8 640.1 383.8,,0,,0,0,27.363,36.545
133,4.433,M001,motorcycle,0.381,342.1 350.0 381.7 395.2,,0,,0,1,27.363,36.545
134,4.467,M001,motorcycle,0.420,341.3 354.7 379.4 396.5,,0,,0,1,27.877,35.872
134,4.467,M005,motorcycle,0.413,583.5 343.3 635.9 383.9,,0,,0,0,27.877,35.872
135,4.500,M001,motorcycle,0.407,341.0 352.6 377.7 396.7,,0,,0,1,27.159,36.820
135,4.500,M005,motorcycle,0.387,580.7 343.0 628.8 382.6,,0,,0,0,27.159,36.820
136,4.533,M001,motorcycle,0.467,337.1 347.7 375.3 395.3,,0,,0,1,28.038,35.666
137,4.567,M001,motorcycle,0.341,336.9 348.6 369.0 395.1,P002,1,1.598,0,1,27.315,36.611
137,4.567,U002,motorcycle,0.331,600.3 345.8 626.2 381.8,,0,,0,0,27.315,36.611
138,4.600,M001,motorcycle,0.405,336.4 348.0 372.7 395.1,P002,1,1.575,0,1,25.700,38.911
138,4.600,U002,motorcycle,0.339,570.4 333.9 608.3 379.8,,0,,0,0,25.700,38.911
139,4.633,M001,motorcycle,0.482,335.9 344.9 372.3 394.9,P002,1,1.588,0,1,27.381,36.522
140,4.667,M001,motorcycle,0.534,335.8 344.4 371.8 394.3,P002,1,1.450,0,1,25.906,38.601
140,4.667,U002,motorcycle,0.268,561.4 338.2 606.6 381.2,,0,,0,0,25.906,38.601
141,4.700,M001,motorcycle,0.474,335.6 342.7 370.8 394.2,P002,1,1.450,0,1,26.132,38.267
142,4.733,M001,motorcycle,0.450,335.7 341.8 369.8 393.5,P002,1,1.450,0,1,28.385,35.230
143,4.767,M001,motorcycle,0.401,334.8 340.1 369.2 392.9,P002,1,1.551,0,1,25.527,39.175
145,4.833,M001,motorcycle,0.336,333.6 341.9 367.7 392.2,,0,,0,1,26.731,37.410
146,4.867,M001,motorcycle,0.467,332.6 345.9 367.6 391.3,,0,,0,1,27.547,36.301
147,4.900,M001,motorcycle,0.373,332.2 345.7 367.1 391.7,,0,,0,1,26.591,37.607
149,4.967,M001,motorcycle,0.283,331.6 346.4 365.6 390.8,,0,,0,1,27.538,36.314
150,5.000,M001,motorcycle,0.337,329.8 351.0 364.6 390.5,,0,,0,1,27.511,36.349
151,5.033,M001,motorcycle,0.347,329.2 349.0 362.9 390.3,,0,,0,1,26.146,38.247
152,5.067,M001,motorcycle,0.299,329.8 349.0 362.2 390.0,,0,,0,1,27.424,36.465
166,5.533,U001,motorcycle,0.585,1078.0 365.1 1189.3 433.2,,0,,0,0,27.196,36.770
167,5.567,M006,motorcycle,0.434,1072.7 363.7 1179.7 432.8,,0,,0,0,27.527,36.328
168,5.600,M006,motorcycle,0.341,1058.4 364.5 1173.0 432.6,,0,,0,0,27.587,36.248
169,5.633,M006,motorcycle,0.404,1051.4 363.3 1162.9 431.3,,0,,0,0,29.274,34.160
170,5.667,M006,motorcycle,0.501,1044.2 362.3 1156.8 430.1,,0,,0,0,27.646,36.171
171,5.700,M006,motorcycle,0.443,1039.6 365.2 1147.1 429.7,,0,,0,0,26.828,37.275
172,5.733,M006,motorcycle,0.598,1034.4 367.1 1140.9 430.8,,0,,0,0,27.375,36.530
172,5.733,U002,motorcycle,0.299,330.8 336.2 357.9 381.3,,0,,0,0,27.375,36.530
173,5.767,M006,motorcycle,0.437,1026.7 364.7 1130.7 431.4,,0,,0,0,27.413,36.480
173,5.767,U002,motorcycle,0.322,331.0 340.8 357.3 380.6,,0,,0,0,27.413,36.480
174,5.800,M006,motorcycle,0.382,1020.2 367.4 1123.9 429.7,,0,,0,0,27.665,36.146
192,6.400,U001,motorcycle,0.262,333.9 334.3 356.2 374.7,,0,,0,0,26.226,38.130
200,6.667,U001,motorcycle,0.315,1218.6 346.3 1278.3 394.0,,0,,0,0,26.299,38.025
202,6.733,U001,motorcycle,0.426,0.9 356.8 104.9 486.2,,0,,0,0,27.260,36.684
203,6.767,M007,motorcycle,0.428,0.5 378.2 110.2 487.1,,0,,0,0,27.137,36.850
204,6.800,M007,motorcycle,0.425,2.9 370.9 115.7 482.9,,0,,0,0,26.282,38.049
205,6.833,U001,motorcycle,0.262,1186.9 353.5 1245.2 389.5,,0,,0,0,28.476,35.117
207,6.900,M007,motorcycle,0.516,12.4 381.8 132.7 489.5,,0,,0,0,26.732,37.408
208,6.933,M007,motorcycle,0.595,17.4 386.2 136.9 488.1,P018,1,1.531,0,0,27.597,36.235
209,6.967,M007,motorcycle,0.432,27.7 379.9 141.0 476.8,P018,1,1.600,0,0,27.459,36.418
